City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nagqu,31.5,92.0,-0.54,10,100,8.71,CN,1732781512
1,ketou,7.3633,2.5998,26.34,31,6,2.97,BJ,1732781513
2,daru,-9.0763,143.2092,28.37,80,100,3.89,PG,1732781514
3,waitangi,-43.9535,-176.5597,14.9,93,100,3.58,NZ,1732781515
4,the pas,53.8251,-101.2541,-13.99,85,100,3.6,CA,1732781223
5,bredasdorp,-34.5322,20.0403,20.42,45,11,5.36,ZA,1732781517
6,praia,14.9215,-23.5087,21.3,83,20,2.57,CV,1732781518
7,salym,60.0625,71.4789,-4.19,88,5,1.25,RU,1732781519
8,akureyri,65.6835,-18.0878,-5.04,74,100,10.29,IS,1732781521
9,west island,-12.1568,96.8225,29.99,79,40,5.66,CC,1732781522
10,crane,31.3974,-102.3501,10.28,60,100,7.44,US,1732781524
11,alice springs,-23.7,133.8833,31.75,27,20,7.2,AU,1732781525
12,nova vicosa,-17.8919,-39.3719,22.18,91,14,3.05,BR,1732781526
13,hadibu,12.65,54.0333,27.39,59,98,4.33,YE,1732781527
14,puerto ayora,-0.7393,-90.3518,21.97,93,98,5.81,EC,1732781528
15,mananjary,-21.2167,48.3333,30.13,57,1,5.64,MG,1732781530
16,port-aux-francais,-49.35,70.2167,4.26,81,62,14.44,TF,1732781531
17,thames,-37.1333,175.5333,16.49,74,14,2.26,NZ,1732781532
18,dudinka,69.4058,86.1778,-25.43,100,59,1.88,RU,1732781533
19,invercargill,-46.4,168.35,11.12,73,0,7.15,NZ,1732781534
20,cabo san lucas,22.8909,-109.9124,22.64,48,14,0.89,MX,1732781435
21,ribeira grande,38.5167,-28.7,18.21,77,40,13.89,PT,1732781536
22,albany,42.6001,-73.9662,2.93,78,100,0.45,US,1732781419
23,adamstown,-25.066,-130.1015,22.36,80,76,7.06,PN,1732781538
24,atafu village,-8.5421,-172.5159,28.59,73,95,5.0,TK,1732781540
25,colonia,50.9333,6.95,6.36,87,75,5.66,DE,1732781269
26,utrik,11.2278,169.8474,28.08,76,64,10.72,MH,1732781542
27,papatowai,-46.5619,169.4708,10.88,68,24,7.99,NZ,1732781544
28,manado,1.487,124.8455,27.43,89,40,1.03,ID,1732781545
29,blackmans bay,-43.0167,147.3167,14.07,75,31,0.45,AU,1732781546
30,puerto natales,-51.7236,-72.4875,5.24,92,82,1.7,CL,1732781530
31,mejit,10.2753,170.8646,27.88,78,96,10.34,MH,1732781548
32,thinadhoo,0.5333,72.9333,28.14,80,85,8.53,MV,1732781549
33,jamestown,42.097,-79.2353,1.12,99,100,2.06,US,1732781419
34,kerikeri,-35.2268,173.9474,19.39,82,5,0.51,NZ,1732781552
35,fort bragg,35.139,-79.006,14.91,95,20,2.06,US,1732781553
36,ushuaia,-54.8,-68.3,2.88,97,100,1.09,AR,1732781555
37,isoka,-10.1606,32.6335,30.73,35,6,1.36,ZM,1732781556
38,stanley,54.868,-1.6985,-2.49,94,20,0.51,GB,1732781557
39,la gi,10.6667,107.7833,28.43,72,100,10.3,VN,1732781558
40,dzhalagash,45.0833,64.6667,8.38,43,100,4.5,KZ,1732781559
41,iqaluit,63.7506,-68.5145,-9.15,86,100,2.57,CA,1732781560
42,dryden,49.7833,-92.7503,-7.84,86,100,3.6,CA,1732781561
43,gananoque,44.3334,-76.1661,0.53,87,100,1.32,CA,1732781563
44,whitehorse,60.7161,-135.0538,-14.57,77,100,2.57,CA,1732781530
45,tiksi,71.6872,128.8694,-15.63,80,98,14.19,RU,1732781565
46,mtambile,-5.3833,39.7,29.03,67,83,0.79,TZ,1732781566
47,port elizabeth,-33.918,25.5701,20.73,61,75,6.17,ZA,1732781567
48,bethel,41.3712,-73.414,5.46,75,100,1.79,US,1732781568
49,uturoa,-16.7333,-151.4333,26.7,79,100,4.81,PF,1732781569
50,grytviken,-54.2811,-36.5092,1.53,87,91,4.31,GS,1732781570
51,howrah,22.5892,88.3103,28.0,47,40,2.57,IN,1732781571
52,margaret river,-33.95,115.0667,22.37,50,0,5.32,AU,1732781485
53,mount pearl,47.5166,-52.7813,1.64,97,100,1.03,CA,1732781410
54,bilibino,68.0546,166.4372,-21.97,100,29,1.4,RU,1732781575
55,tura,25.5198,90.2201,25.62,44,89,1.63,IN,1732781576
56,klaksvik,62.2266,-6.589,6.83,74,100,8.23,FO,1732781577
57,sasvad,18.3333,74.0333,25.07,22,98,5.92,IN,1732781578
58,la ronge,55.1001,-105.2842,-17.86,78,75,4.12,CA,1732781579
59,melfort,52.8667,-104.6177,-14.93,78,60,4.12,CA,1732781580
60,georgetown,5.4112,100.3354,27.96,77,20,4.12,MY,1732781581
61,indiana,40.0003,-86.2503,2.03,94,100,5.14,US,1732781582
62,vershino-darasunskiy,52.35,115.5167,-13.96,87,100,0.94,RU,1732781583
63,kodiak,57.79,-152.4072,-2.27,69,0,4.63,US,1732781584
64,balqash,46.8481,74.995,3.33,48,0,7.0,KZ,1732781569
65,nuuk,64.1835,-51.7216,-7.66,67,40,1.54,GL,1732781549
